date,strategy_return,benchmark_return,strategy_growth,benchmark_growth
2021-02-03,0.0,0.07301601814996458,5.39748942178324,1088.9113792662693
2021-02-04,-0.003903624517278448,0.0688110353676484,5.376419649744616,1163.8404986971952
2021-02-05,-0.0001,0.08066062838503904,5.375882007779642,1257.7166046620682
2021-02-06,0.0,0.02843174444756501,5.375882007779642,1293.4756817532793
2021-02-07,0.0,0.07293634278715506,5.375882007779642,1387.8170674644855
2021-02-08,0.0,0.11153523794888158,5.375882007779642,1542.607574313656
2021-02-09,0.0,0.05986029997105323,5.375882007779642,1634.94852644969
2021-02-10,-0.002762221520564012,0.14720297214336564,5.36103263080574,1875.6178088445004
2021-02-11,0.0037775799230856943,0.0189472190799878,5.381284360038879,1911.1555503790037
2021-02-12,0.009924936340715207,0.038792760871308285,5.434693264743551,1985.29455063273
2021-02-13,0.011296198865428852,-0.0054615360632528365,5.496084640634701,1974.45179284827
2021-02-14,-0.0001,-0.0336336384581422,5.495535032170637,1908.0437950945807
2021-02-15,0.0,-0.03407147072795137,5.495535032170637,1843.0339367823665
2021-02-16,0.0,-0.016538820445119683,5.495535032170637,1812.5523294276609
2021-02-17,0.0007861017440944917,0.03653616022782278,5.499855081844158,1878.7760317569432
2021-02-18,0.004614334686912458,0.07052981172125926,5.525233253921304,2011.285751543175
2021-02-19,0.006808666042750167,0.11980762527236485,5.562852721955552,2252.2531211797063
2021-02-20,-0.003916704976277397,-0.0396870527666209,5.54106466901717,2162.867832715661
2021-02-21,-0.005136609605685527,0.03834835827788422,5.512602383012572,2245.810263272352
2021-02-22,-0.019838809653573864,-0.019190441167343208,5.4032389136401475,2202.7121735420083
2021-02-23,0.005186813183868266,-0.1228138403579681,5.431264504473007,1932.1886323060673
2021-02-24,0.0002655223362768911,0.08315578385935977,5.4327066265131725,2092.8612925896227
2021-02-25,0.007907053127341968,-0.08804792567557075,5.475663326434275,1908.5891970504126
2021-02-26,-0.010696048669338066,0.0026730044439882915,5.417095364997825,1913.6908644558762
2021-02-27,-0.006192513245752573,0.014527724296369083,5.383549930196571,1941.4924377231714
2021-02-28,0.020882243920090738,-0.03939576089567688,5.495970532994923,1865.0058658658645
2021-03-01,-0.03950233250786981,0.09981512243792001,5.278866877547102,2051.1616547147046
2021-03-02,0.0020586019387734853,-0.02762200128465566,5.289733963135747,1994.5044648531386
2021-03-03,-0.013534981968417625,0.025275756177249496,5.218137509326978,2044.9170734012018
2021-03-04,0.0002028474336615127,-0.02753766992439143,5.219195995129239,1988.604822011127
2021-03-05,0.0129814866969044,-0.01412819049863715,5.286948918508545,1960.5094342592454
2021-03-06,-0.004843510814829366,0.015804870230717628,5.2613415242442985,1991.4950314538105
2021-03-07,-0.01151424506818457,0.03519407773582337,5.200761148546734,2061.5838624013018
2021-03-08,-0.010441471218054933,0.03452231651831483,5.146457550702205,2132.7545130281696
2021-03-09,-0.03746485259989475,0.07526649534989362,4.953646277153531,2293.279470665469
2021-03-10,0.01783635852061479,-0.044928463263346374,5.04200128813715,2190.245948215089
2021-03-11,-0.0012121718450964325,0.02138660534223702,5.0358895161327295,2237.0878739119985
2021-03-12,0.0045604917806207675,-0.05016060900198492,5.058855648879168,2124.874183765617
2021-03-13,-0.010535464654312288,0.06917660152745735,5.005558253999133,2271.865758471952
2021-03-14,0.007875304291365204,-0.042397668955295106,5.0449785483975305,2175.543946133388
2021-03-15,0.003449174715649672,-0.026663787887881117,5.062379560847659,2117.5357038129237
2021-03-16,-0.025985679829681807,0.04689368975521861,4.9308301864031465,2216.834766153125
2021-03-17,-0.012229409319799068,0.039786536345057744,4.870529045767201,2305.0349431476643
2021-03-18,0.007798039306800386,-0.022775082179803185,4.908509622711007,2252.5375828901583
2021-03-19,0.006385705173373934,0.034399942718974764,4.939853918002308,2330.0247467139175
2021-03-20,0.0035154127162076556,-0.000373828379578367,4.9572195432818615,2329.153717338476
2021-03-21,0.0022809448167327552,-0.009732904938813713,4.968526687504516,2306.484285619736
2021-03-22,-0.010823176351437614,-0.037266458043112606,4.914751446958831,2220.5297857625897
2021-03-23,-0.008396915045311582,-0.011477648578645028,4.873482696589895,2195.043325223193
2021-03-24,-0.005550894802490924,-0.055036078745538106,4.846430506819365,2074.2367479263416
2021-03-25,-0.007421125820055519,-0.003166809070838028,4.8104645362501035,2067.668036177943
2021-03-26,-0.0067362906580969665,0.09203405812103312,4.778059848933455,2257.9639163945462
2021-03-27,0.006932221445317832,0.008519091574969906,4.811182417885243,2277.199717771289
2021-03-28,-0.004414086206773971,0.010528494658131281,4.789945443936182,2301.175202835342
